Unnamed: 0,id,POINT_Y,POINT_X,geometry,index_right,postcodes
193690,193690,53.37747597,-6.225109348,POINT (-6.225109348 53.37747597),17,Dublin 5
193691,193691,53.37806767,-6.225831282,POINT (-6.225831282 53.37806767),17,Dublin 5
193692,193692,53.37809609,-6.225872876,POINT (-6.225872876 53.37809609),17,Dublin 5
193693,193693,53.37813448,-6.225733935,POINT (-6.225733935 53.37813448),17,Dublin 5
193694,193694,53.3779065,-6.224761991,POINT (-6.224761991 53.3779065),17,Dublin 5
193695,193695,53.37790713,-6.224964792,POINT (-6.224964792 53.37790713),17,Dublin 5
193696,193696,53.37793092,-6.225045331,POINT (-6.225045331 53.37793092),17,Dublin 5
193697,193697,53.37794537,-6.224977121,POINT (-6.224977121 53.37794537),17,Dublin 5
193698,193698,53.37796848,-6.224932413,POINT (-6.224932413 53.37796848),17,Dublin 5
193699,193699,53.37797704,-6.225275018,POINT (-6.225275018 53.37797704),17,Dublin 5
193700,193700,53.37798164,-6.225017371,POINT (-6.225017371 53.37798164),17,Dublin 5
193701,193701,53.37801437,-6.22522236,POINT (-6.22522236 53.37801437),17,Dublin 5
193702,193702,53.3780499,-6.225133098,POINT (-6.225133098 53.3780499),17,Dublin 5
193703,193703,53.37816792,-6.224830657,POINT (-6.224830657 53.37816792),17,Dublin 5
193704,193704,53.37819029,-6.224895347,POINT (-6.224895347 53.37819029),17,Dublin 5
193705,193705,53.3781984,-6.22480155,POINT (-6.22480155 53.3781984),17,Dublin 5
193706,193706,53.37820268,-6.225195489,POINT (-6.225195489 53.37820268),17,Dublin 5
193707,193707,53.37823158,-6.224873745,POINT (-6.224873745 53.37823158),17,Dublin 5
193708,193708,53.37833415,-6.225296502,POINT (-6.225296502 53.37833415),17,Dublin 5
193709,193709,53.37843186,-6.226175917,POINT (-6.226175917 53.37843186),17,Dublin 5
193710,193710,53.37847186,-6.22611165,POINT (-6.22611165 53.37847186),17,Dublin 5
193711,193711,53.37850292,-6.226205627,POINT (-6.226205627 53.37850292),17,Dublin 5
193712,193712,53.37874928,-6.22547657,POINT (-6.22547657 53.37874928),17,Dublin 5
193713,193713,53.37882623,-6.225366741,POINT (-6.225366741 53.37882623),17,Dublin 5
193714,193714,53.37886318,-6.226120185,POINT (-6.226120185 53.37886318),17,Dublin 5
193715,193715,53.3790522,-6.225751782,POINT (-6.225751782 53.3790522),17,Dublin 5
193716,193716,53.37922701,-6.22608691,POINT (-6.22608691 53.37922701),17,Dublin 5
193717,193717,53.37924833,-6.226148707,POINT (-6.226148707 53.37924833),17,Dublin 5
193718,193718,53.3794075,-6.225407146,POINT (-6.225407146 53.3794075),17,Dublin 5
193719,193719,53.37945866,-6.225202742,POINT (-6.225202742 53.37945866),17,Dublin 5
193720,193720,53.37949419,-6.225333466,POINT (-6.225333466 53.37949419),17,Dublin 5
193721,193721,53.37951409,-6.225414277,POINT (-6.225414277 53.37951409),17,Dublin 5
193722,193722,53.37952081,-6.225035073,POINT (-6.225035073 53.37952081),17,Dublin 5
193723,193723,53.37955673,-6.225238394,POINT (-6.225238394 53.37955673),17,Dublin 5
193724,193724,53.37957449,-6.225178327,POINT (-6.225178327 53.37957449),17,Dublin 5
193725,193725,53.37958657,-6.225682855,POINT (-6.225682855 53.37958657),17,Dublin 5
193726,193726,53.37962068,-6.225811202,POINT (-6.225811202 53.37962068),17,Dublin 5
