Unnamed: 0,id,POINT_Y,POINT_X,geometry,index_right,postcodes
39388,39388,53.32929174,-6.279762282,POINT (-6.279762282 53.32929174),19,Dublin 6W
39389,39389,53.32933443,-6.279843093,POINT (-6.279843093 53.32933443),19,Dublin 6W
39390,39390,53.32936447,-6.27983344,POINT (-6.27983344 53.32936447),19,Dublin 6W
39391,39391,53.32944968,-6.279774166,POINT (-6.279774166 53.32944968),19,Dublin 6W
39392,39392,53.32945142,-6.279896224,POINT (-6.279896224 53.32945142),19,Dublin 6W
39393,39393,53.32955355,-6.279980947,POINT (-6.279980947 53.32955355),19,Dublin 6W
39394,39394,53.3297342,-6.279738006,POINT (-6.279738006 53.3297342),19,Dublin 6W
39395,39395,53.32985149,-6.279759905,POINT (-6.279759905 53.32985149),19,Dublin 6W
39396,39396,53.32999927,-6.279995502,POINT (-6.279995502 53.32999927),19,Dublin 6W
39397,39397,53.32727434,-6.279212112,POINT (-6.279212112 53.32727434),19,Dublin 6W
39398,39398,53.32730602,-6.279217265,POINT (-6.279217265 53.32730602),19,Dublin 6W
39399,39399,53.32731703,-6.279276286,POINT (-6.279276286 53.32731703),19,Dublin 6W
39400,39400,53.32739529,-6.279307184,POINT (-6.279307184 53.32739529),19,Dublin 6W
39401,39401,53.32747213,-6.279292923,POINT (-6.279292923 53.32747213),19,Dublin 6W
39402,39402,53.32748921,-6.279188344,POINT (-6.279188344 53.32748921),19,Dublin 6W
39403,39403,53.32757488,-6.279226305,POINT (-6.279226305 53.32757488),19,Dublin 6W
39404,39404,53.32775731,-6.27934409,POINT (-6.27934409 53.32775731),19,Dublin 6W
39405,39405,53.32777779,-6.27944456,POINT (-6.27944456 53.32777779),19,Dublin 6W
39406,39406,53.32912754,-6.279111039,POINT (-6.279111039 53.32912754),19,Dublin 6W
39407,39407,53.32917592,-6.279115793,POINT (-6.279115793 53.32917592),19,Dublin 6W
39408,39408,53.32928671,-6.27917415,POINT (-6.27917415 53.32928671),19,Dublin 6W
39409,39409,53.32931251,-6.279272661,POINT (-6.279272661 53.32931251),19,Dublin 6W
39410,39410,53.32934524,-6.279182343,POINT (-6.279182343 53.32934524),19,Dublin 6W
39411,39411,53.32937173,-6.279261407,POINT (-6.279261407 53.32937173),19,Dublin 6W
39412,39412,53.32941098,-6.279232522,POINT (-6.279232522 53.32941098),19,Dublin 6W
39413,39413,53.3294918,-6.279301183,POINT (-6.279301183 53.3294918),19,Dublin 6W
39414,39414,53.32969242,-6.279409565,POINT (-6.279409565 53.32969242),19,Dublin 6W
39415,39415,53.32976021,-6.279359632,POINT (-6.279359632 53.32976021),19,Dublin 6W
39416,39416,53.32979771,-6.279350145,POINT (-6.279350145 53.32979771),19,Dublin 6W
39417,39417,53.32991532,-6.279398926,POINT (-6.279398926 53.32991532),19,Dublin 6W
39418,39418,53.32994378,-6.279572432,POINT (-6.279572432 53.32994378),19,Dublin 6W
39426,39426,53.32902598,-6.279318361,POINT (-6.279318361 53.32902598),19,Dublin 6W
39427,39427,53.32904558,-6.279208488,POINT (-6.279208488 53.32904558),19,Dublin 6W
